6,0.043893
7,0.08436
8,0.106928
9,0.113344
10,0.108399
11,0.097067
12,0.083884
13,0.071639
14,0.058889
15,0.048038
16,0.038601
17,0.030764
18,0.024656
19,0.019514
20,0.015257
21,0.012135
22,0.009574
23,0.007314
24,0.005819
25,0.0044
26,0.003447
27,0.002713
28,0.002161
29,0.00165
30,0.001256
31,0.000981
32,0.000722
33,0.000594
34,0.00046
35,0.000349
36,0.000265
37,0.000208
38,0.00017
39,0.000135
40,9.6e-05
41,8.2e-05
42,4.7e-05
43,3.3e-05
44,4.3e-05
45,2.9e-05
46,1.4e-05
47,1.7e-05
48,1.3e-05
49,1.1e-05
50,7e-06
51,4e-06
52,6e-06
53,2e-06
54,2e-06
55,0.0
56,0.0
57,2e-06
58,1e-06
59,1e-06
60,1e-06
61,1e-06
62,1e-06
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,1e-06
