6,0.043896
7,0.084137
8,0.107022
9,0.113173
10,0.108780
11,0.097990
12,0.084332
13,0.070959
14,0.058156
15,0.047945
16,0.038523
17,0.030803
18,0.024521
19,0.019433
20,0.015402
21,0.012109
22,0.009503
23,0.007448
24,0.005819
25,0.004610
26,0.003477
27,0.002664
28,0.002123
29,0.001654
30,0.001280
31,0.000949
32,0.000783
33,0.000601
34,0.000431
35,0.000346
36,0.000269
37,0.000191
38,0.000167
39,0.000117
40,0.000082
41,0.000062
42,0.000068
43,0.000036
44,0.000030
45,0.000024
46,0.000014
47,0.000017
48,0.000010
49,0.000013
50,0.000009
51,0.000005
52,0.000003
53,0.000002
54,0.000003
55,0.000001
56,0.000003
57,0.000001
58,0.000001
59,0.000000
60,0.000002
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000001
